number,value,datetime_start,datetime_complete,duration,params_A,params_B,params_C,params_D,params_Vmax,params_a_ub,params_h1,params_h2,user_attrs_IAE,user_attrs_IAE_0,user_attrs_IAE_1,user_attrs_IAE_2,user_attrs_best_mean_reward,user_attrs_best_mean_reward_0,user_attrs_best_mean_reward_1,user_attrs_best_mean_reward_2,user_attrs_sumA,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_fixed_params,state
43,0.40081323029634675,2025-08-24 13:17:34,2025-08-24 14:36:07,0 days 01:18:33,86.79566220175121,-0.5849302186157668,70.75266937473376,-0.511453825147075,1.294256769476346,0.840563878323398,4.347775134919502,4.225660596293847,,0.2315818586154116,,,,3630.911392886667,,,,0.2315818586154116,0.40081323029634675,,PRUNED
44,0.3674384833310897,2025-08-24 13:21:15,2025-08-24 15:51:34,0 days 02:30:19,55.75759347451176,-0.5825550846546772,67.33956641655135,-0.5004068814631248,1.8306879919600036,0.819905632410993,4.023649129363953,4.1672606051326655,0.3674384833310897,0.47961042256037784,0.4217751184438234,0.3674384833310897,2352.3649974166665,2347.7029056866663,2350.1088458199997,2352.3649974166665,1.7798103044278146,0.4217751184438234,,,COMPLETE
45,0.24197628271702246,2025-08-24 13:24:21,2025-08-24 14:40:43,0 days 01:16:22,84.7060348541284,-0.5834393241095885,66.07241037284926,-0.5261264066642803,24.207303596660495,0.18051290713938756,4.258382152875198,1.6489986644395684,,0.2630389532240654,,,,3535.4069886166667,,,,0.2630389532240654,0.24197628271702246,,PRUNED
46,0.28167266280114484,2025-08-24 14:26:49,2025-08-24 16:55:34,0 days 02:28:45,56.31010810978833,-0.5599100580278835,68.66891078333224,-0.7170927564458375,1.8849447839047646,0.21661786238839867,3.922364472478452,1.7322126803753957,0.28167266280114484,0.1756001745828721,0.25053087392780404,0.28167266280114484,2264.7685090733335,2260.5725822433337,2260.5725822433337,2264.7685090733335,2.058841062211462,0.25053087392780404,,,COMPLETE
47,1.769779003360816,2025-08-24 14:34:21,2025-08-24 15:22:07,0 days 00:47:46,54.12556562933568,-0.5824296915715808,99.70417510727547,-0.026329176190810988,20.24818834413011,0.18520111084498653,3.995513709579514,2.7105950259867715,,,,,,,,,,1.769779003360816,,,PRUNED
48,0.5175547814555036,2025-08-24 14:36:07,2025-08-24 15:21:04,0 days 00:44:57,54.14645580817444,-0.5599880843378771,97.97075923629896,-0.31647878752034075,20.406523223070142,0.21990571171190298,4.000695244483498,1.7895649450612572,,,,,,,,,,0.5175547814555036,,,PRUNED
49,0.4653640939641042,2025-08-24 14:39:13,2025-08-24 17:17:54,0 days 02:38:41,52.993416501547635,-0.5896952585753217,34.87680427993819,-0.3927485613688054,23.803399600289737,0.22070656694080093,4.114956505816656,1.547848460901922,0.4653640939641042,0.4702493221684905,0.3611609689761803,0.4653640939641042,2257.2646487099996,2227.7771831433333,2257.2646487099996,2257.2646487099996,1.6498517820560012,0.3611609689761803,,,COMPLETE
50,0.5572491339517536,2025-08-24 14:40:43,2025-08-24 15:56:13,0 days 01:15:30,74.02239159183141,-0.7207459468337557,32.127415408160566,-0.4357142651151228,26.595745658066207,0.37026776458620275,4.035238708379484,1.8280168156048853,,0.4894461632284062,,,,2164.5792685566666,,,,0.5572491339517536,,,PRUNED
51,0.3748522793458952,2025-08-24 15:21:04,2025-08-24 16:40:38,0 days 01:19:34,72.34515430924527,-0.8070473773852344,32.996504016039296,-0.3852486457726768,26.50962600609985,0.3588767866979404,4.55982285443274,2.6077004761601126,,0.4200455249297777,,,,1465.3832933433334,,,,0.4200455249297777,0.3748522793458952,,PRUNED
52,0.6930646109099433,2025-08-24 15:22:07,2025-08-24 16:41:47,0 days 01:19:40,74.69231250871218,-0.7025879386260803,33.43132961396219,-0.41142865764389064,26.76987701253535,0.3641589130493774,4.480075586796769,2.0182805287272556,,0.5226638945640545,,,,2262.8924343666663,,,,0.6930646109099433,,,PRUNED
